ID,Product,Category,Subcategory,Price,Date
353614,Freezer Vertical Whirlpool 260l Fast Freezing Evox,heladeras_freezers_y_cavas,freezers,1544299,2024-04-15
353613,Freezer Vertical Whirlpool Fast Freezing Blanco 260l,heladeras_freezers_y_cavas,freezers,1479999,2024-04-15
410774,Freezer Horizontal Inelro Fih 130a A Inverter,heladeras_freezers_y_cavas,freezers,732539,2024-04-15
344117,Freezer Midea Vertical No Frost Inox 230 Lts,heladeras_freezers_y_cavas,freezers,1817499,2024-04-15
388403,Auricular Aiwa In Ear Negro Wireless Ata-106n,audio,,20589,2024-04-15
386247,Barra De Sonido Hisense Hs218,audio,,345999,2024-04-15
414013,Parlante Stromberg Vibe,audio,,454000,2024-04-15
348641,Parlante Aiwa Bluetooth Aw-t2018r,audio,,212859,2024-04-15
297864,Parlante Nex Kspw6e Bluetooth Luces Usb Fm,audio,,218399,2024-04-15
408511,Auricular Aiwa In Ear Lila True Wireless Ata-5,audio,,23199,2024-04-15
332687,Auricular In Ear Nex ADIE3370BK,audio,,2620,2024-04-15
386242,Barra De Sonido Hisense Hs214,audio,,217000,2024-04-15
332683,Auricular On Ear Nex Hacbt3311bk,audio,,24023,2024-04-15
414007,Parlante Stromberg Look,audio,,219000,2024-04-15
414009,Parlante Stromberg Veil,audio,,94000,2024-04-15
332684,Auricular On Ear Nex Hacbt3311wh,audio,,24023,2024-04-15
408499,Auricular Eurosound Forum Rosa,audio,,16529,2024-04-15
332682,Auricular Nex In Ear Adie3371wh,audio,,4149,2024-04-15
384415,Torre De Sonido Samsung Mx-tb40,audio,,780098,2024-04-15
346841,"Barra De Sonido Stromberg Subw 50wrms Subw 5,2",audio,,289000,2024-04-15
346854,Parlante Stromberg Dj 6004 Woofer 1x2 Tweeter,audio,,301599,2024-04-15
346843,Barra De Sonido Stromberg Stage 2x3 Tweeter,audio,,224000,2024-04-15
414010,Parlante Stromberg Spark,audio,,72799,2024-04-15
299866,Auricular Motorola Pulse200 Bass Negro,audio,,57999,2024-04-15
412592,Silla Gamer Panacom Rojo,consolas_y_videojuegos,videojuegos,208999,2024-04-15
392733,Juego Ps5 Uncharted Legacy Of Thieves Collecti,consolas_y_videojuegos,videojuegos,106999,2024-04-15
317479,Juego Ps5 Spider-man Miles Morales,consolas_y_videojuegos,videojuegos,106999,2024-04-15
392730,Juego Ps5 Gran Turismo 7,consolas_y_videojuegos,videojuegos,150999,2024-04-15
333544,Juego Ps5 Ratchet & Clank Rift Apart,consolas_y_videojuegos,videojuegos,150999,2024-04-15
288416,Lavarropas Candy Carga Superior Cvst610t 6 Kg,lavado,lavarropas,1039999,2024-04-15
248584,Lavarropas Candy Frontal Smart Touch,lavado,lavarropas,879999,2024-04-15
387289,Lavarropa Whirlpool 7kg Wnq70ab Inverter Blanco,lavado,lavarropas,759999,2024-04-15
